dialogue_id,turn_id,query,response,response_type
top25_dial5,3,How much box office total did the movie get after its run in the cinemas?,"Jungle Cruise had a digital release on August 31 and it was released via 4K, Blu-ray, and DVD on November 16.It debuted atop the ""NPD Videoscan First Alert"", ranking first in both the overall disc sales and Blu-ray sales. 55% of the sales came from Blu-ray, including 16% from 4K Blu-ray and 39% from traditional Blu-ray.",directAnswer
food_level2_dial36,1,Ginkgo biloba is native to what country?,Ginkgo biloba is native to China.,directAnswer
food_level2_dial36,2,Is the Ginkgo bilbo found anywhere else?,"The Ginkgo biloba tree is also commonly found in North America, Europe, Korea and Japan.",directAnswer
food_level2_dial36,3,How long will a ginkgo biloba typically live?,"Ginkgos are generally durable, with some specimens claimed as having lived for over 2,500 years.",directAnswer
food_level2_dial36,4,What kind of climate is suitable to grow Ginkgo biloba?,"I don't have an information about the suitable climate for Ginko biloba, but I know they grow in Zhejiang, and Zhejiang has a humid subtropical climate with four distinct seasons.",noAnswerButRelevantInfo
food_level2_dial36,5,What are the culinary uses for ginkgo biloba?,"The nut-like gametophytes inside the seeds are particularly esteemed in Asia, and are a traditional Chinese food, being used in congee, added to dishes such as chawanmushi, and cooked seeds are often eaten along with other dishes.",directAnswer
food_level3_dial27,1,How many countries does the popular restaurant chain Chipotle serve?,"Chipotle operates in 5 countries: the United States, the United Kingdom, Canada, Germany, and France.",directAnswer
food_level3_dial27,2,When was Chipotle founded?,"Chipotle was founded by Steve Ells on July 13, 1993.",directAnswer
food_level3_dial27,3,What is the name of the person who Chipotle in 1993?,Steve Ells is the founder of Chipotle.,directAnswer
food_level3_dial27,4,Is Steve Ells the founder of any other restaurants or businesses?,"Sorry, I did not find any useful information.",noAnswerNoRelevantInfo
food_level3_dial27,5,What is the most popular menu item ordered at Chipotle?,"I didn't find the most popular menu item but Chipotle's menu consists of five items: burritos, bowls, tacos, quesadillas, and salads.",noAnswerButRelevantInfo
food_level3_dial27,6,Does Chipotle serve an breakfast menu?,The chain experimented with breakfast foods at two airports in the Washington (D.C.) metropolitan area but decided against expanding the menu in that direction.,directAnswer
food_level2_dial37,1,What two labels have been given to Hong Kong for their cuisine?,"Hong Kong has been given the labels ""Gourmet Paradise"" and ""World's Fair of Food"" to describe its complex food combinations and gourmet expertise.",directAnswer
food_level2_dial37,2,What is the western take on Hong Kong cuisine?,"Most Western-style adaptations of Hong-Kong cuisine combine the dishes with Cantonese (Chines) influences. This involves marinating steak in soy sauce, serving dishes with a soy sauce gravy, or serving dishes with fried rice or pasta on the side.",directAnswer
food_level2_dial37,3,Which cultures influence Hong Kong Cuisine?,"Hong Kong cuisine is mainly influenced by Cantonese cuisine, Taiwanese cuisine, Western cuisines, European cuisines, and non-Cantonese Chinese cuisines (especially Hakka, Teochew, Hokkien and Shanghainese), as well as Japanese, Korean, Australian and Southeast Asian cuisines.",directAnswer
food_level2_dial37,4,What are some of the ingredients that are typically found in Hong Kong cuisine?,"Typical Hong Kong cuisine ingredients are century egg, Chinese cabbage, Chinese sausage, dried shrimp and scallop, Hoisin sauce, jujube, kai-lan, lotus seed, red bean, salted duck egg, and shiitake.",directAnswer
food_level2_dial37,5,What are some popular street food in Hong Kong?,"Egg tarts, fish balls, egg waffles, and stinky tofu are examples of Hong Kong street food.",directAnswer
food_level2_dial37,6,"What gives ""stinky tofu"" its name?","I didn't find information specifically about the name but Stinky tofu (Chinese: 臭豆腐; pinyin: chòu dòufu) is a Chinese form of fermented tofu that has a strong odor. According to a Chinese legend, a scholar named Wang Zhihe (王致和) hailing from Huang Shan in Anhui Province invented stinky tofu during the Qing dynasty.",noAnswerButRelevantInfo
food_level2_dial12,1,How many liters of water consumption per day is recommended for good health in hot climates?,The people working in hot climate may need to have 16 liters of water every day.,noAnswerButRelevantInfo
food_level2_dial12,2,What methods are used to determine the safety of drinking water?,"Would you like to know about physical, chemical, or microbiological parameters?",clarification
food_level2_dial12,3,What are the physical parameters that make water safe to drink?,"Physical and chemical parameters include heavy metals, trace organic compounds, total suspended solids (TSS), and turbidity. Physical parameters affect the aesthetics and taste of the drinking water and may complicate the removal of microbial pathogens.",directAnswer
food_level2_dial12,4,What measures are in place to make sure drinking water is safe?,"All public water suppliers in the US must uphold a certain standard of water quality. In the US, the EPA establishes standards as required by the Safe Drinking Water Act.",directAnswer
food_level2_dial12,5,Does the EPA oversee the quality of bottled water as well?,In the US the Food and Drug Administration regulates bottled water.,directAnswer
food_level2_dial12,6,Was the Food and Drug Administration founded before or after the EPA?,"The FDA was organized as the Food, Drug, and Insecticide Administration in 1927, the name was shortened to the Food and Drug Administration 3 years later. The EPA was proposed by Richard Nixon on July 9, 1970, and began operation on December 2, 1970.",directAnswer
hobby_level2_dial2,1,What is the main cause of low literacy in the United States?,A lack of higher education is the cause of low literacy.,directAnswer
hobby_level2_dial2,2,"That seems a bit too simple, right? What are some other causes?",Some point to segregation in schools and the decentralization of public education as some of the reasons for low literacy rates among minorities in the United States.,noAnswerButRelevantInfo
hobby_level2_dial2,3,How would one be defined as illiterate?,"One would be considered functionally illiterate if one's reading and writing skills are inadequate ""to manage daily living and employment tasks that require reading skills beyond a basic level"".",directAnswer
hobby_level2_dial2,4,What are some solutions to the elementary literacy gap in the United States?,"A number of solutions have been made, would you like to know about the ones from the United State government or the solutions from Non-Profit Tutoring Programs?",clarification
hobby_level2_dial2,5,I interested in the solutions advised by the United State government.,"The federal government has provided funding through programs such as Head Start, Title I, an No Child Left Behind to schools whose student populations come from loww income households to insure access to better education and resources.",directAnswer
hobby_level2_dial2,6,What qualifies you to be low income in the United States?,"I couldn't find a exact breakdown for various groups but in 2020, the single person poverty threshold under 65 was an annual income of $12,760. For a family of four with two children, it was $26,200.",noAnswerButRelevantInfo
hobby_level3_dial33,1,Which prime minister of India had a mother who was assassinated?,"Rajiv Ratna Gandhi was an Indian politician who served as the sixth prime minister of India from 1984 to 1989. He took office after the 1984 assassination of his mother, then Prime Minister Indira Gandhi.",directAnswer
hobby_level3_dial33,2,What foreign policy was enacted under Rajiv Ratna Gandhi as Prime Minister?,"According to Rejaul Karim Laskar, the ""whole gamut"" of Rajiv Gandhi's foreign policy was ""geared towards"" making India ""strong, independent, self-reliant and in the front rank of the nations of the world"".",directAnswer
hobby_level3_dial33,3,Did the prime minister succeed in suppressing the coup in Maldives?,"In 1988, he reversed the coup in Maldives.",directAnswer
hobby_level3_dial33,4,Why did Rajiv Ratna Gandhi receive funding from the KGB?,"In 1992, the Indian newspapers Times of India and The Hindu published reports alleging that Rajiv Gandhi had received funds from the KGB.The Russian government confirmed this disclosure and defended the payments as necessary for Soviet ideological interest.",directAnswer
hobby_level3_dial33,5,What was the public's general view of Rajiv Gandhi?,"I could not find anything regarding the public's general view, but Gandhi posthumously received the Bharat Ratna, India's highest civilian award.",noAnswerButRelevantInfo
hobby_level3_dial33,6,Did Ghandi ever recieved any recognition outside India?,There were allegations against him that he had money in Switzerland banks but there was not much on if he received any awards or anything from places outside India.,noAnswerButRelevantInfo
food_level1_dial1,1,What is used to consumed sugar in the grapes in the wine making process?,"Yeast consumes the sugar in the grapes and converts it to ethanol and carbon dioxide, releasing heat in the process.",directAnswer
food_level1_dial1,2,Does wine making require a special kind of yeast?,"There are a variety of yeasts used in winemaking including Saccharomyces cerevisiae, Saccharomyces bayanus, and yeast from the genera Kloeckera, Candida, and Brettanomyces. Which would you like to know more of?",clarification
hobby_level1_dial17,1,What kind of animals commonly live in sea shells?,Hermit crabs are anomuran decapod crustaceans of the superfamily Paguroidea that have adapted to occupy empty scavenged mollusc shells to protect their fragile exoskeletons.,directAnswer
hobby_level1_dial17,2,Do seashells contain any nutrients?,"Yes, seashells contain mainly calcium carbonate which is added to both soil and some kinds of poultry feed in India as a nutrient.",directAnswer
hobby_level1_dial17,3,Why are seashells good as poultry feed?,"Prior to the 20th century, poultry were fed oyster shells as calcium supplements. Although I can't say for certain, it is likely that seashells are added to poultry feeds in India as a similar source of calcium, as egg laying hens require 4 grams of calcium per day in order to lay eggs.",noAnswerButRelevantInfo
hobby_level1_dial17,4,I'm interested in learning about Conchology.,"Conchology is the study of mollusc shells. Conchology is one aspect of malacology, the study of molluscs; however, malacology is the study of molluscs as whole organisms, whereas conchology is confined to the study of their shells.",directAnswer
hobby_level1_dial17,5,Can you really hear the ocean if you hold a seashell to your ear?,"Seashell resonance refers to a popular folk myth that the sound of the ocean may be heard through seashells, particularly conch shells. This effect is similarly observed in any resonant cavity, such as an empty cup or a hand clasped to the ear.",directAnswer
hobby_level1_dial17,6,Are there any places that used seashells as currency in the past?,"Yes, shell money has appeared in the Americas, Asia, Africa and Australia.",directAnswer
top25_dial23,1,Who was the green party candidate for the 2019 Canadian federal election?,2019 Federal election in Canada involved multiple offices including parliament and prime minister where the Green party won three seats. For which office would you like to know the Green Party candidates?,clarification
top25_dial23,2,I'm interested in the Green Party candidates for the Members of the House of Commons.,"Sorry that i didn't find the answer but i found Green Party members Elizabeth May, Paul Manly and Jenica Atwin were re-elected in 2019 federal elections, Pierre Nantel ran under the banner of Green Party as well but lost the election.",noAnswerButRelevantInfo
top25_dial23,3,"And of those Green party candidates in 2019, who were the winners?","Elizabeth May was reelected with 54% of the vote, and Jenica Atwin was elected as the first Member of Parliament of the Green Party of Canada outside of British Columbia.",directAnswer
top25_dial23,4,You said Elizabeth May was reelected. How many times has she been elected to Parliament?,"She has been elected as a Member of Parliament twice. The first time on May 2, 2011, and the second time on October 21, 2019.",directAnswer
top25_dial23,5,What were some campaign slogans from 2019?,"Sorry, I did not find any useful information.",noAnswerNoRelevantInfo
top25_dial23,6,"Oh, okay. Well, what is the oldest still functioning political party in Canada?",The Liberal Party of Canada is the longest-serving and oldest active federal political party in Canada.,directAnswer
food_level3_dial28,1,Can grenache be found in South Africa?,"While there isn't a lot of Grenache Noir planted in South Africa at only 305 hectares in 2014, many of the 100+ Grenache based blends are proving to be very fashionable with winemakers due to South Africa's warm climate, dry land and granitic soils.",directAnswer
food_level3_dial28,2,Is there anywhere else grenache is grown?,"Grenache is one of the most widely planted red wine grape varieties in the world. In addition to being grown in Spain and South Africa it is also commonly grown in Sardinia, France, Australia, and California.",directAnswer
food_level3_dial28,3,What type of growing conditions does Grenache needs to be grown at?,"Grenache grows in hot, dry soils that are well drained but it is also adaptable to all vineyard soil types.",directAnswer
food_level3_dial28,4,"How long does it take for Grenache to grow if it is a hot, dry environment?","I couldn't find an exact length, but Grenache needs a long growing season to fully ripen and is one of the last grapes harvested, often ripening weeks after Cabernet Sauvignon, which itself, is one of the last major grape varieties to bud and ripen, often 1-2 weeks after Merlot and Cabernet franc.",noAnswerButRelevantInfo
food_level3_dial28,5,How is grenache used in winemaking?,"Grenahce is often used as a blending component, adding body and sweet fruitiness to a wine.",directAnswer
food_level3_dial28,6,What kind of flavor is it noted for?,"Characteristic flavor profiles for Grenache include red fruit flavors like raspberry and strawberry with a subtle, white pepper spice note. As Grenache ages, it has a more leather and tar sort of flavor.",directAnswer
hobby_level2_dial20,1,What are the health benefits of Tai Chi?,The major health benefit of Tai Chi is relieving stress on the body and mind. It may also reduce the number of falls in older people and increase functional exercise capacity.,directAnswer
hobby_level2_dial20,2,Where do the different Tai Chi lineages originate from?,"Most modern styles trace their development to the five traditional schools: Chen, Yang, Wu (Hao), Wu, and Sun. All trace their historical origins to Chen Village.",directAnswer
hobby_level2_dial20,3,How is Tai Chi used for self defense?,"Tai chi is a martial art, and as a martial art, it focuses on defense over offense.",directAnswer
hobby_level2_dial20,4,What types of weapons are used in TaiChi?,"The jian, a straight double-edged sword, practiced as taijijian, the dao, a heavier curved saber, sometimes called a broadsword;the qiang, a 2 m long spear or a 4 m long lance are some of the weapons are used in TaiChi.",directAnswer
hobby_level2_dial20,5,How is Tai Chi used for sport?,"Practitioners test their skills against students from other schools and martial arts styles in tuishou (""pushing hands"") and sanshou competition.",directAnswer
hobby_level2_dial20,6,Are there noticeable differences in style or how it is practiced in any particular countries?,"I couldn't find major noticeable differences but there are many new, hybrid and offshoot styles but the family schools are the accepted standards in the international community.",noAnswerButRelevantInfo
top25_dial50,1,What was the Al-Aqsa Mosque used for after the Crusaders captured it?,The Crusaders used the mosque as a palace.,directAnswer
top25_dial50,2,Why is Al-Aqsa Mosque so important to Muslims?,The Al-Aqsa Mosque is important in Islam as it is believed that Muhammad was transported there from the Great Mosque of Mecca during the Night Journey.,directAnswer
top25_dial50,3,What are some conflicts associated with the Al-Aqsa Mosque?,"In April 2021, Jewish settlers performed prayers and read the Torah inside the Al-Aqsa Mosque, the area is typically off limits to non-Muslims. On 14th of April, Israeli police also entered and cut speaker wires in minarets, saying it interfered with an event by the Israeli president.",directAnswer
top25_dial50,4,How was the Al-Aqsa Mosque involved with the assassination of King Abdullah I?,It was involved in that King Abdullah I was assassinated by Mustafa Shukri Ashu while attending prayers there on 20 July 1951.,directAnswer
top25_dial50,5,Can anyone visit the Al-Asqua Mosque if they want?,"Muslim residents of Israel and Palestinians living in East Jerusalem are normally allowed to enter the Temple Mount and pray at the al-Aqsa Mosque without restrictions. Due to security measures, the Israeli government occasionally prevents certain groups of Muslims from reaching al-Aqsa by blocking the entrances to the complex; the restrictions vary from time to time.",directAnswer
top25_dial50,6,"Second Intifada, can you explain further?","The Second Intifada, also known as the Al-Aqsa Intifada was a Palestinian uprising against Israel resulting from the failure of the 2000 Camp David Summit to reach final agreement on the Israeli-Palestinian peace process in July 2000.",directAnswer
hobby_level3_dial34,1,When did women start playing rugby?,The first documented case of all women's rugby team is from 1891.,directAnswer
hobby_level3_dial34,2,Where did the first women's rugby team play?,"There are also early reports of women's rugby union being played in France (1903) and England (1913). In the case of the all women's ruby team in 1891 on a tour of New Zealand, the match was cancelled due to public outcry.",noAnswerButRelevantInfo
hobby_level3_dial34,3,What is the most notable rugby competition?,"The highest profile women's rugby tournament is the Rugby World Cup, historically known as the Women's Rugby World Cup.",directAnswer
hobby_level3_dial34,4,What part of the world is rugby most commonly played in?,"I was not able to find that there is one particular place where it is played more, but I did find that is very popular throughout the World and is played on every continent but Antarctica.",noAnswerButRelevantInfo
hobby_level3_dial34,5,Who is considered the most famous rugby player?,"I don't have information on who the most famous rugby player is, but The World Rugby Men's 15s Player of the Year is presented to honor ""the achievements of those involved at the highest level of the world game on the field"", and Antoine Dupont, a French rugby player is the 2021 World Rugby Men's 15s Player of the Year.",noAnswerButRelevantInfo
hobby_level3_dial34,6,What team does Antoine Dupont play for?,Antoine Dupont currently plays for Toulouse in the Top 14 and captains the France national team.,directAnswer
food_level1_dial10,1,What type of grain is fermented in making sake?,"Sake is produced from fermented rice. There are at least 80 types of rice used in Japan, including: Yamadanishiki, Gohyakumangoku, Miyamanishiki and Omachi.",directAnswer
food_level1_dial10,2,How does fermenting rice cause sake to become alcoholic?,"Sake is produced by a brewing process more akin to that of beer, where starch is converted into sugars which ferment into alcohol.",directAnswer
food_level1_dial10,3,Are there different types of sake?,"Yes, there are two basic types of sake: Futsū-shu (普通酒, ordinary sake) and Tokutei meishō-shu (特定名称酒, special-designation sake). There are eight varieties of special-designation sake.",directAnswer
food_level1_dial10,4,What are the ceremonial uses of sake?,"Sake is often consumed as part of Shinto purification rituals, and at New Year many Japanese people drink a special sake called toso.",directAnswer
food_level1_dial10,5,"Yes, please let me know how sake is used in new year celebrations.","On New Year's, a special kind of sake called toso is drank, though plain sake is used in some regions of Japan. It is done to wash away the ailments, to inspire the drinker to live a long life, and to prevent one's family from becoming ill.",directAnswer
food_level1_dial10,6,What is toso made of?,"Ingredients have changed somewhat over time; some of the original Chinese ones were deemed at one point or another to be too potent for casual consumption. Nowadays it is typically made from Japanese pepper, asiasari radix, apiaceae, cinnamon, dried ginger, atractylodes Japonica, Chinese bellflower and rhubarb, amongst others.",directAnswer
food_level2_dial38,1,Are bananas susceptible to any sorts of diseases?,"Bananas are susceptible to a number of diseases, including Panama disease, Tropical race 4, Black Sigatoka, and Banana bunchy top virus. Is there a specific disease you'd like to hear more about?",clarification
food_level2_dial38,2,What is the banana cartel?,"Sorry that i didn't find the answer but i found United Fruit Company, Vaccaro firm and Cuyamel maintained a cartel like cooperation in banana agriculture output.",noAnswerButRelevantInfo
food_level2_dial38,3,What are the nutritional properties of bananas?,"Bananas are a great source of Vitamin B6 and a good source of Vitamin C, manganese, and dietary fiber. Contrary to popular belief, they aren't a great source of potassium.",directAnswer
food_level2_dial38,4,What country is the largest producer of bananas?,"As of 2017, India and China were the largest producers of banana with a combined total of 27% to global production.",directAnswer
food_level2_dial38,5,I heard all those bananas from India and China are of one variety or cultivar. What are they called?,Bananas in the Cavendish group are by far the most important cultivars. These include theDwarf Cavendish and Grand Nain (Chiquita Banana).,directAnswer
food_level2_dial38,6,Are there any pests that cause problems for bananas?,"There are many, but one of the most serious is called Cosmopolites sordidus, commonly known as the banana root borer, banana borer, or banana weevil, is a species of weevil in the family Curculionidae. Another pest that targets bananas is Pentalonia nigronervosa (banana aphid) is an aphid in the superfamily Aphidoidea in the order Hemiptera.",directAnswer
food_level2_dial38,7,Tell me more about Black sigatoka!,"Black sigatoka is a leaf-spot disease of banana plants caused by the ascomycete fungus Mycosphaerella fijiensis (Morelet). Plants with leaves damaged by the disease may have up to 50% lower yield of fruit, and control can take up to 50 sprays a year.",directAnswer
top25_dial24,1,How much older is Alexander than his youngest brother?,"There are many Alexanders in the history. Which Alexander are you referring to, The Alexander the Great, Alexander Hamilton, or some other Alexander?",clarification
top25_dial24,2,I'm referring to Alexander Rae Baldwin III. How much older is he than his youngest brother?,He is eight years older than Stephen.,directAnswer
top25_dial24,3,How did Alec (or Alexander) Baldwin get his start in the show business?,Baldwin got his start in 1986 on Broadway in a revival of Joe Orton's Loot.,directAnswer
top25_dial24,4,What was Alec Baldwin's first movie appearance?,"Baldwin made his film debut with a minor role in the 1987 film Forever, Lulu.",directAnswer
top25_dial24,5,Can you tell me about the shooting incident that happened on set with Alec Baldwin?,"On October 21, 2021, while filming for the upcoming film Rust, Baldwin discharged a prop gun and killed cinematographer Halyna Hutchins and injured director Joel Souza.",directAnswer
top25_dial24,6,Was Alec Baldwin ever charged with any crime with this incident?,"Baldwin was questioned, but left without charges being filed.",directAnswer
food_level3_dial29,1,What is the earliest recorded use of Black pepper?,"Black pepper is native to South Asia and Southeast Asia, and has been known to Indian cooking since at least 2000 BCE.",directAnswer
food_level3_dial29,2,How did black pepper spread out of South and Southeast Asia?,Black pepper found its way out of South and Southeast Asia via trade routes with western civilizations.,directAnswer
food_level3_dial29,3,How is black pepper typically produced?,"Black peppers are produced from unripe drupes of the pepper plant. The drupes are cooked in hot water, then dried by the sun or by machine for several days.",directAnswer
food_level3_dial29,4,Has black pepper been used in China?,"It is possible that black pepper was known in China in the second century BCE, according to Tang Meng reports. By the 12th century, however, black pepper had become a popular ingredient in the cuisine of the wealthy and powerful, sometimes taking the place of China's native Sichuan pepper.",directAnswer
food_level3_dial29,5,Are there any nutritional aspects of black pepper?,"Black pepper contains between 4.6 and 9.7% piperine by mass, and white pepper slightly more than that.",directAnswer
food_level3_dial29,6,Is black pepper used in medicine at all?,"Historically, black pepper was used as a traditional medicine, though current medical research hasn't confirmed any benefits.",directAnswer
hobby_level2_dial9,1,What is crossover referring too in a story?,"A crossover is the placement of two or more otherwise discrete fictional characters, settings, or universes into the context of a single story.",directAnswer
hobby_level2_dial9,2,Can you tell me about how crossovers get started?,"They can arise from legal agreements between the relevant copyright holders, unauthorized efforts by fans, or common corporate ownership. Crossover origins vary across genres. Would you like to know more about crossovers in animation or film?",clarification
hobby_level2_dial9,3,What are some famous crossovers that have appeared in a tv series?,"Crossovers in TV series are not uncommon, one example being Cartoon network show, The Grim Adventures of the Kids Next Door. It features five crossovers – Ed, Edd n Eddy, Codename: Kids Next Door, The Grim Adventures of Billy and Mandy, a reference to The Powerpuff Girls, and a quote from Scooby-Doo.",directAnswer
hobby_level2_dial9,4,Which show did the character of Ursula Buffay first appear on?,"Phoebe's crass, identical twin sister, Ursula Buffay (also portrayed by Kudrow), a character originally created for and appearing in the American sitcom Mad About You as a waitress, is also introduced in the first season of Friends, in ""The One with Two Parts"".",directAnswer
hobby_level2_dial9,5,What are some famous crossovers in movies?,"The first film crossover in a series of Universal Studios monster films was Frankenstein Meets the Wolf Man, in 1943 and there have been numerous crossovers in Japanese cinema. Would you like to know more about crossovers in American film or Japanese cinema?",clarification
top25_dial51,1,Why did the people of Fergana rebel against Babur?,The noble people of Fergana favored Babar's younger brother as their ruler and rebelled against him.,directAnswer
top25_dial51,2,Which regions did Babur still have control over at the time of his death?,"I don't have any information on the regions under Babur's control at the time of his death, but he was the founder of the Mughal Empire and was buried initially in Agra.",noAnswerButRelevantInfo
top25_dial51,3,What regions of Indian subcontinent have been under the control of the Mughal empire?,"Although I can't say with certainty how much of India was under the Mughal's control, at its height, their empire stretched from the Indus basin in the west, Afghanistan and Kashmir in the north, Bangladesh in the east, and the Deccan Plateau in the South. By the time of Emperor Aurangzeb, the Mughal Empire had conquered almost all of South Asia.",noAnswerButRelevantInfo
top25_dial51,4,How did Babur die?,"I couldn't find evidence of how he died. However, Babur died in Agra at the age of 47 on 5 January [O.S. 26 December 1530] 1531, and was first buried in Agra but, as per his wishes, his mortal remains were moved to Kabul and reburied in Bagh-e Babur in Kabul sometime between 1539 and 1544.",noAnswerButRelevantInfo
top25_dial51,5,Does Babur have any living descendants?,"I could not find anything regarding living descendants, but the final ruler from the House of Babur, Bahadur Shah, was exiled in 1857.",noAnswerButRelevantInfo
top25_dial51,6,Where was he exiled too in 1857?,"He was exiled to Rangoon, Burma.",directAnswer
hobby_level3_dial35,1,What are some of the manga series that are associated with Kamiwaza Wanda?,"The Kamiwaza Wanda series includes its self-title installment, as well as the spinoff Kamiwaza Wanda: Mysterious Joker Promin Stories.",directAnswer
hobby_level3_dial35,2,How long is the main series?,"By ""how long"", do you mean, how many pages, or how many volumes, or how many years or months have the series been published?",clarification
hobby_level3_dial35,3,I'd like to know how many volumes the main series consists of.,"The series consists of three volumes, which were released from July 2016 to April 2017. A spin-off series titled ""Kamiwaza Wanda: Mysterious Joker Promin Stories"" was also published between 2016 and 2017, but no full volumes of it have been released.",directAnswer
hobby_level3_dial35,4,Has the creator published anything else besides Kamiwaza Wanda and its spin-offs?,"Kamiwaza Wanda was created by both Takara Tomy and TBS Holdings, Inc. Which of these two companies' publishing histories are you interested in learning more about?",clarification
hobby_level3_dial35,5,What's the Takara Tomy's annual revenue?,"Sorry, I did not find any useful information.",noAnswerNoRelevantInfo
hobby_level3_dial35,6,Can you tell me about some of the mechanical or electronic games the company has released?,"Tomy has a variety of mechanical and electronic games, including Screwball Scramble, Starriors, and Tomy Tutor.",directAnswer
hobby_level3_dial35,7,I want to know more about both Armatron and Blip!,"Being a toy robot made by TOMY and distributed by Radio Shack in the United States since 1984, the Armatron consists of a crane-like arm which picks up small objects by the user manipulating two attached joysticks and its shape resembles industrial robots of the 1980s, though it is strictly user-controlled, with no automation built in. Blip (stylized as Blip. THE DIGITAL GAME), being a tabletop electro-mechanical game marketed by Tomy starting in 1977 in the United States, the system can play a two-player game that is very similar to Atari's video game Pong, and a single-player game.",directAnswer
food_level1_dial11,1,What regions did Chicha originate from in Latin America?,Chicha originates from the Andes and Amazonia regions of Latin America.,directAnswer
food_level1_dial11,2,What is the average alcohol percentage of Chicha in its fermented form?,"I did not find the answer, but  I did find that the highly fermented forms contain a significant alcohol content.",noAnswerButRelevantInfo
food_level1_dial11,3,What was chicha's purpose in the Inca Empire's ceremonies and rituals?,"Chicha played an important role in ceremonies and rituals as shown in rites of passage, choice of women preparers (the aclla), how Inca royalty perceived themselves, and Inca religion. Which of these aspects do you want to learn more about?",clarification
food_level1_dial11,4,How does Chica contribute to the Incan economy?,"Assuming you mean in the past, since the Incan Empire is no more, and assuming you mean Chicha and not Chica, it was used only for ritual purposes and consumed during religious festivals, and by leaders as a means of extending invitations and cementing power relationships and alliances.",directAnswer
food_level1_dial11,5,Can you also tell me about the women's role in preparing chicha?,"At around age 10, the most attractive, virgin girls were chosen to become aclla (Chosen Women), and were trained for four years in the brewing of chicha, which would be used in ceremonies and community worship. They would chew maize to create a mush which would then be fermented into chicha, which was considered sacred when produced by the aclla.",directAnswer
food_level1_dial11,6,Were there ever any male aclla?,"There are small amounts of evidence that suggest that they may have existed, however, the overwhelming amount of evidences suggests that the majority of aclla were indeed women. In fact, one of the roles of the aclla was to be given to men as wives, further supporting this.",directAnswer
hobby_level2_dial21,1,What legacy did Ian Lancaster Fleming leave behind?,The Bond character's influence is prominent in other novels and films.,noAnswerButRelevantInfo
hobby_level2_dial21,2,How did Ian Lancaster Fleming begin his writing career?,"After the second world war, Fleming became the foreign manager in the Kemsley newspaper group, where he continued to write articles until at least 1961.",directAnswer
